pattern_kind,pitch_mm,diameter_mm,ring_count,hole_count,holes_per_ring,ring_radii_mm,ring_radial_pitch_mm,nearest_neighbor_min_mm,edge_clearance_mm,geometry_ok
concentric_hexagonal_rings,2.0,0.6353883327016112,1,7,6,2.000000,2.0,2.0,1.3646116672983888,True
concentric_hexagonal_rings,2.0,0.6353883327016112,2,19,6|12,2.000000|4.000000,2.0,2.0,1.3646116672983888,True
concentric_hexagonal_rings,2.0,0.6353883327016112,3,37,6|12|18,2.000000|4.000000|6.000000,2.0,2.0,1.3646116672983888,True
concentric_hexagonal_rings,2.0,0.6353883327016112,4,61,6|12|18|24,2.000000|4.000000|6.000000|8.000000,2.0,2.0,1.3646116672983888,True
concentric_hexagonal_rings,2.5,0.6353883327016112,1,7,6,2.500000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_hexagonal_rings,2.5,0.6353883327016112,2,19,6|12,2.500000|5.000000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_hexagonal_rings,2.5,0.6353883327016112,3,37,6|12|18,2.500000|5.000000|7.500000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_hexagonal_rings,2.5,0.6353883327016112,4,61,6|12|18|24,2.500000|5.000000|7.500000|10.000000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_hexagonal_rings,3.0,0.6353883327016112,1,7,6,3.000000,3.0,3.0,2.364611667298389,True
concentric_hexagonal_rings,3.0,0.6353883327016112,2,19,6|12,3.000000|6.000000,3.0,3.0,2.364611667298389,True
concentric_hexagonal_rings,3.0,0.6353883327016112,3,37,6|12|18,3.000000|6.000000|9.000000,3.0,3.0,2.364611667298389,True
concentric_hexagonal_rings,3.0,0.6353883327016112,4,53,6|12|18|24,3.000000|6.000000|9.000000|12.000000,3.0,3.0,2.364611667298389,True
concentric_hexagonal_rings,4.0,0.6353883327016112,1,7,6,4.000000,4.0,4.0,3.364611667298389,True
concentric_hexagonal_rings,4.0,0.6353883327016112,2,19,6|12,4.000000|8.000000,4.0,4.0,3.364611667298389,True
concentric_hexagonal_rings,4.0,0.6353883327016112,3,34,6|12|18,4.000000|8.000000|12.000000,4.0,4.0,3.364611667298389,True
concentric_hexagonal_rings,4.0,0.6353883327016112,4,34,6|12|18|24,4.000000|8.000000|12.000000|16.000000,4.0,4.0,3.364611667298389,True
concentric_hexagonal_rings,8.0,0.6353883327016112,1,7,6,8.000000,8.0,8.0,7.364611667298389,True
concentric_hexagonal_rings,8.0,0.6353883327016112,2,7,6|12,8.000000|16.000000,8.0,8.0,7.364611667298389,True
concentric_hexagonal_rings,8.0,0.6353883327016112,3,7,6|12|18,8.000000|16.000000|24.000000,8.0,8.0,7.364611667298389,True
concentric_hexagonal_rings,8.0,0.6353883327016112,4,7,6|12|18|24,8.000000|16.000000|24.000000|32.000000,8.0,8.0,7.364611667298389,True
concentric_circular_rings,2.0,0.6353883327016112,1,7,6,2.000000,2.0,2.0,1.3646116672983888,True
concentric_circular_rings,2.0,0.6353883327016112,2,19,6|12,2.000000|4.000000,2.0,2.0,1.3646116672983888,True
concentric_circular_rings,2.0,0.6353883327016112,3,37,6|12|18,2.000000|4.000000|6.000000,2.0,2.0,1.3646116672983888,True
concentric_circular_rings,2.0,0.6353883327016112,4,61,6|12|18|24,2.000000|4.000000|6.000000|8.000000,2.0,2.0,1.3646116672983888,True
concentric_circular_rings,2.5,0.6353883327016112,1,7,6,2.500000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_circular_rings,2.5,0.6353883327016112,2,19,6|12,2.500000|5.000000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_circular_rings,2.5,0.6353883327016112,3,37,6|12|18,2.500000|5.000000|7.500000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_circular_rings,2.5,0.6353883327016112,4,61,6|12|18|24,2.500000|5.000000|7.500000|10.000000,2.5,2.4999999999999996,1.8646116672983883,True
concentric_circular_rings,3.0,0.6353883327016112,1,7,6,3.000000,3.0,3.0,2.364611667298389,True
concentric_circular_rings,3.0,0.6353883327016112,2,19,6|12,3.000000|6.000000,3.0,3.0,2.364611667298389,True
concentric_circular_rings,3.0,0.6353883327016112,3,37,6|12|18,3.000000|6.000000|9.000000,3.0,3.0,2.364611667298389,True
concentric_circular_rings,3.0,0.6353883327016112,4,58,6|12|18|24,3.000000|6.000000|9.000000|12.000000,3.0,3.0,2.364611667298389,True
concentric_circular_rings,4.0,0.6353883327016112,1,7,6,4.000000,4.0,4.0,3.364611667298389,True
concentric_circular_rings,4.0,0.6353883327016112,2,19,6|12,4.000000|8.000000,4.0,4.0,3.364611667298389,True
concentric_circular_rings,4.0,0.6353883327016112,3,33,6|12|18,4.000000|8.000000|12.000000,4.0,4.0,3.364611667298389,True
concentric_circular_rings,4.0,0.6353883327016112,4,33,6|12|18|24,4.000000|8.000000|12.000000|16.000000,4.0,4.0,3.364611667298389,True
concentric_circular_rings,8.0,0.6353883327016112,1,7,6,8.000000,8.0,8.0,7.364611667298389,True
concentric_circular_rings,8.0,0.6353883327016112,2,7,6|12,8.000000|16.000000,8.0,8.0,7.364611667298389,True
concentric_circular_rings,8.0,0.6353883327016112,3,7,6|12|18,8.000000|16.000000|24.000000,8.0,8.0,7.364611667298389,True
concentric_circular_rings,8.0,0.6353883327016112,4,7,6|12|18|24,8.000000|16.000000|24.000000|32.000000,8.0,8.0,7.364611667298389,True
