pitch_mm,acceptance_radius_mm,axis_visible_hole_count,axis_single_hole_limit_mm,all_gaze_single_hole_limit_mm,square_gap_free_limit_mm,triangular_gap_free_limit_mm,zero_coverage_fraction,single_hole_coverage_fraction,multi_hole_coverage_fraction,coverage_class
1.5,3.1,13,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.5541666666666667,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.6083333333333334,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.6625,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.7166666666666668,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.7708333333333335,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.825,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.8791666666666667,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.9333333333333333,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
1.9875,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.041666666666667,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.095833333333333,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.15,3.1,9,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.2041666666666666,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.2583333333333333,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.3125,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.3666666666666667,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.4208333333333334,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.475,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.529166666666667,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.5833333333333335,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.6375,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.6916666666666664,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.7458333333333336,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.8,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.854166666666667,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.908333333333333,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
2.9625000000000004,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
3.0166666666666666,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
3.0708333333333333,3.1,5,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0,1.0,gap_free_but_multi_hole
3.125,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.0003785068661145513,0.9996214931338855,gap_free_but_multi_hole
3.1791666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.002558706414934367,0.9974412935850656,gap_free_but_multi_hole
3.2333333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.006676861118260685,0.9933231388817393,gap_free_but_multi_hole
3.2875,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.013035776468985148,0.9869642235310149,gap_free_but_multi_hole
3.341666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.021272085875637784,0.9787279141243622,gap_free_but_multi_hole
3.3958333333333335,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.03144635043679692,0.9685536495632031,gap_free_but_multi_hole
3.45,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.043316325758149254,0.9566836742418507,gap_free_but_multi_hole
3.504166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.05561022876954988,0.9443897712304501,gap_free_but_multi_hole
3.5583333333333336,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.07032657572408363,0.9296734242759164,gap_free_but_multi_hole
3.6125000000000003,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.08540628927008737,0.9145937107299127,gap_free_but_multi_hole
3.666666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.10218171357628428,0.8978182864237158,gap_free_but_multi_hole
3.720833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.12016835985404775,0.8798316401459523,gap_free_but_multi_hole
3.775,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.1393662281033778,0.8606337718966222,gap_free_but_multi_hole
3.8291666666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.15941195173280442,0.8405880482671956,gap_free_but_multi_hole
3.8833333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.18024496964374934,0.8197550303562506,gap_free_but_multi_hole
3.9375,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.20222864842768248,0.7977713515723175,gap_free_but_multi_hole
3.9916666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.22524186588744718,0.7747581341125528,gap_free_but_multi_hole
4.045833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.2498902330088268,0.7501097669911733,gap_free_but_multi_hole
4.1,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.2741752335387364,0.7258247664612636,gap_free_but_multi_hole
4.154166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.3007615558146225,0.6992384441853775,gap_free_but_multi_hole
4.208333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.32746900028766524,0.6725309997123348,gap_free_but_multi_hole
4.2625,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.3572650607882027,0.6427349392117973,gap_free_but_multi_hole
4.316666666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.3873033656830535,0.6126966343169465,gap_free_but_multi_hole
4.370833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0,0.4199457978167724,0.5800542021832276,gap_free_but_multi_hole
4.425000000000001,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.00018168329573498463,0.45767536223107086,0.5421429544731942,simultaneous_overlap_and_gap
4.479166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0009084164786749232,0.4938303380823328,0.5052612454389923,simultaneous_overlap_and_gap
4.533333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0021801995488198154,0.5268361368075217,0.4709836636436585,simultaneous_overlap_and_gap
4.5875,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.003997032506169662,0.5568744417023724,0.43912852579145784,simultaneous_overlap_and_gap
4.641666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.006358915350724462,0.5863676967100183,0.4072733879392572,simultaneous_overlap_and_gap
4.695833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.009265848082484216,0.6124089690986995,0.37832518281881633,simultaneous_overlap_and_gap
4.75,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.012112219715665642,0.6372995806143923,0.35058819966994204,simultaneous_overlap_and_gap
4.804166666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.015806446728943664,0.660857847961362,0.3233357053096943,simultaneous_overlap_and_gap
4.858333333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.020045723629426637,0.6814486214779936,0.29850565489257974,simultaneous_overlap_and_gap
4.9125,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.024103317234174627,0.700707050825902,0.2751896319399234,simultaneous_overlap_and_gap
4.966666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.02912988841617587,0.7178458417235689,0.2530242698602553,simultaneous_overlap_and_gap
5.020833333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.033793093006707145,0.7347423882269224,0.23146451876637042,simultaneous_overlap_and_gap
5.075,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.03942527517449167,0.7494587351814562,0.21111598964405215,simultaneous_overlap_and_gap
5.129166666666666,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.04499689624369786,0.7619948825871702,0.19300822116913202,simultaneous_overlap_and_gap
5.183333333333334,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.05075020060863904,0.7747732743871973,0.17447652500416358,simultaneous_overlap_and_gap
5.237500000000001,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.0571091159593635,0.7850686611455132,0.15782222289512332,simultaneous_overlap_and_gap
5.291666666666667,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.06407364229587124,0.7940922648336841,0.14183409287044468,simultaneous_overlap_and_gap
5.345833333333333,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.07055367984375237,0.8024496964374934,0.12699662371875425,simultaneous_overlap_and_gap
5.4,3.1,1,3.1,6.2,4.384062043356595,5.36935750346352,0.07763932837741677,0.8092931005768444,0.11306757104573877,simultaneous_overlap_and_gap
